booking_id,hotel_id,guest_id,room_type_id,promotion_id,booking_date,check_in_date,check_out_date,stay_nights,adults,children,booking_channel,booking_status,cancellation_flag,cancellation_date,adr_try,room_revenue_try,food_beverage_revenue_try,other_revenue_try,gross_revenue_try,cancellation_fee_try,realized_revenue_try,nationality
B03084,H001,G00785,RT01,P000,2025-08-28,2025-09-19,2025-09-22,3,2,1,Direct Website,Completed,0,,3301.45,9904.35,1293.99,308.0,11506.34,0.0,11506.34,British
B03085,H001,G00116,RT03,P000,2026-07-21,2026-08-27,2026-09-03,7,2,0,Direct Website,Confirmed,0,,7319.19,51234.33,8333.57,1281.11,60849.01,0.0,60849.01,Turkish
B03086,H001,G01489,RT01,P006,2025-06-01,2025-06-18,2025-06-20,2,1,1,Direct Website,Completed,0,,3302.18,6604.36,1216.41,161.01,7981.78,0.0,7981.78,British
B03087,H001,G00654,RT01,P006,2025-07-04,2025-08-06,2025-08-09,3,2,0,Direct Website,Completed,0,,4284.25,12852.75,2494.03,461.74,15808.52,0.0,15808.52,Turkish
B03088,H001,G00432,RT02,P003,2026-09-14,2026-11-10,2026-11-16,6,2,0,Direct Website,Confirmed,0,,2591.44,15548.64,2410.76,1073.11,19032.51,0.0,19032.51,British
B03089,H001,G01392,RT02,P006,2026-09-02,2026-10-01,2026-10-06,5,2,0,Direct Website,Confirmed,0,,3321.07,16605.35,3597.82,664.55,20867.72,0.0,20867.72,British
B03090,H001,G02473,RT02,P001,2026-10-11,2026-11-02,2026-11-04,2,3,2,Corporate,Cancelled,1,2026-10-18,2706.28,5412.56,574.82,343.55,6330.93,811.88,811.88,German
B03091,H001,G00044,RT06,P000,2025-09-25,2025-10-25,2025-10-28,3,4,0,Corporate,Completed,0,,8077.81,24233.43,4707.52,1091.55,30032.5,0.0,30032.5,Turkish
B03092,H001,G00334,RT06,P004,2025-02-25,2025-03-01,2025-03-03,2,3,0,Travel Agent,Completed,0,,5792.55,11585.1,2088.19,667.39,14340.68,0.0,14340.68,Turkish
B03093,H001,G00481,RT01,P000,2025-09-16,2025-12-13,2025-12-15,2,4,0,Travel Agent,Completed,0,,2320.05,4640.1,541.53,136.37,5318.0,0.0,5318.0,French
B03094,H001,G02180,RT01,P000,2025-08-18,2025-08-25,2025-08-27,2,2,2,Travel Agent,Cancelled,1,2025-08-22,5064.54,10129.08,1488.37,500.18,12117.63,1519.36,1519.36,Turkish
B03095,H001,G02122,RT01,P006,2026-11-14,2026-12-05,2026-12-10,5,2,1,Direct Phone,Confirmed,0,,2120.35,10601.75,1382.47,718.03,12702.25,0.0,12702.25,Turkish
B03096,H001,G00589,RT02,P000,2026-07-08,2026-08-02,2026-08-06,4,3,1,Expedia,Completed,0,,6322.6,25290.4,5150.57,462.09,30903.06,0.0,30903.06,British
B03097,H001,G01905,RT02,P000,2026-04-19,2026-04-30,2026-05-04,4,2,0,Booking.com,Completed,0,,3630.55,14522.2,2378.9,386.03,17287.13,0.0,17287.13,Turkish
B03098,H001,G01521,RT01,P001,2026-04-08,2026-05-08,2026-05-10,2,2,1,Corporate,Completed,0,,2293.99,4587.98,586.46,137.02,5311.46,0.0,5311.46,British
B03099,H001,G01528,RT06,P000,2026-10-11,2026-10-21,2026-10-24,3,4,0,Booking.com,Confirmed,0,,7403.91,22211.73,3378.07,703.41,26293.21,0.0,26293.21,Turkish
B03100,H001,G02413,RT02,P000,2025-04-01,2025-04-10,2025-04-13,3,2,0,Direct Website,Completed,0,,3742.52,11227.56,2039.2,570.52,13837.28,0.0,13837.28,Turkish
B03101,H001,G02215,RT03,P006,2025-10-08,2025-11-25,2025-11-29,4,1,0,Direct Phone,Completed,0,,3081.62,12326.48,1171.66,469.34,13967.48,0.0,13967.48,Turkish
B03102,H001,G00062,RT02,P000,2026-01-30,2026-02-26,2026-03-04,6,2,0,Expedia,Completed,0,,2977.64,17865.84,1622.82,269.8,19758.46,0.0,19758.46,Turkish
B03103,H001,G00194,RT04,P000,2026-10-17,2026-10-25,2026-10-26,1,2,0,Direct Website,Confirmed,0,,5763.75,5763.75,994.85,311.96,7070.56,0.0,7070.56,Turkish
B03104,H001,G02002,RT02,P000,2026-09-03,2026-10-06,2026-10-11,5,2,0,Booking.com,Confirmed,0,,3551.63,17758.15,3069.2,1046.7,21874.05,0.0,21874.05,German
B03105,H001,G01384,RT01,P001,2026-05-21,2026-06-05,2026-06-07,2,2,1,Corporate,Cancelled,1,2026-05-29,3169.71,6339.42,546.02,198.23,7083.67,950.91,950.91,British
B03106,H001,G00962,RT02,P005,2025-06-14,2025-07-23,2025-07-25,2,2,1,Booking.com,Completed,0,,5116.94,10233.88,1856.3,331.4,12421.58,0.0,12421.58,German
B03107,H001,G02554,RT05,P000,2026-06-03,2026-08-11,2026-08-19,8,2,0,Expedia,Completed,0,,11695.59,93564.72,8008.89,3179.06,104752.67,0.0,104752.67,Turkish
B03108,H001,G01350,RT02,P000,2026-07-18,2026-08-16,2026-08-17,1,2,0,Direct Website,Completed,0,,5959.72,5959.72,900.42,61.67,6921.81,0.0,6921.81,Turkish
B03109,H001,G02525,RT01,P000,2026-05-16,2026-05-28,2026-05-30,2,2,0,Travel Agent,Completed,0,,2931.15,5862.3,1239.95,323.54,7425.79,0.0,7425.79,German
B03110,H001,G02364,RT02,P000,2025-03-01,2025-04-17,2025-04-21,4,2,0,Booking.com,Completed,0,,3416.98,13667.92,2920.66,240.89,16829.47,0.0,16829.47,Turkish
B03111,H001,G00886,RT01,P000,2025-06-12,2025-08-20,2025-08-23,3,2,0,Corporate,Completed,0,,4493.64,13480.92,1686.62,411.59,15579.13,0.0,15579.13,German
B03112,H001,G01175,RT02,P005,2025-05-29,2025-07-11,2025-07-12,1,2,1,Travel Agent,Cancelled,1,2025-06-20,4697.7,4697.7,673.17,108.03,5478.9,704.66,704.66,British
B03113,H001,G02272,RT02,P002,2026-07-24,2026-08-17,2026-08-23,6,4,0,Direct Phone,Cancelled,1,2026-08-11,5477.33,32863.98,6556.61,2167.62,41588.21,0.0,0.0,British
B03114,H001,G00689,RT05,P000,2025-07-22,2025-08-17,2025-08-21,4,1,0,Direct Website,Completed,0,,9803.98,39215.92,6622.07,1273.57,47111.56,0.0,47111.56,Turkish
B03115,H001,G01844,RT01,P000,2026-07-03,2026-07-05,2026-07-11,6,2,0,Booking.com,Completed,0,,4045.86,24275.16,2058.99,479.69,26813.84,0.0,26813.84,Turkish
B03116,H001,G02131,RT01,P006,2025-07-31,2025-09-25,2025-09-27,2,3,1,Direct Phone,Completed,0,,3452.36,6904.72,809.22,357.49,8071.43,0.0,8071.43,Russian
B03117,H001,G01778,RT06,P000,2025-01-10,2025-01-17,2025-01-18,1,3,2,Booking.com,Completed,0,,6385.23,6385.23,679.02,111.24,7175.49,0.0,7175.49,British
B03118,H001,G01946,RT04,P002,2025-07-07,2025-08-19,2025-08-23,4,2,0,Expedia,Completed,0,,7593.55,30374.2,4903.43,1272.98,36550.61,0.0,36550.61,Turkish
B03119,H001,G01847,RT03,P001,2026-02-03,2026-02-17,2026-02-20,3,3,0,Expedia,Cancelled,1,2026-02-15,2931.94,8795.82,1448.92,360.96,10605.7,0.0,0.0,British
B03120,H001,G01733,RT02,P006,2026-11-21,2026-12-15,2026-12-16,1,3,1,Direct Phone,Confirmed,0,,2606.79,2606.79,252.49,43.85,2903.13,0.0,2903.13,Turkish
B03121,H001,G00461,RT01,P003,2025-09-09,2025-09-11,2025-09-18,7,3,0,Direct Phone,Completed,0,,3009.24,21064.68,3325.69,798.92,25189.29,0.0,25189.29,British
B03122,H001,G01312,RT06,P000,2026-08-25,2026-09-08,2026-09-11,3,3,1,Travel Agent,Confirmed,0,,10688.6,32065.8,5697.97,1044.1,38807.87,0.0,38807.87,British
B03123,H001,G02598,RT01,P000,2026-12-20,2026-12-22,2026-12-26,4,2,0,Expedia,Confirmed,0,,2127.43,8509.72,1292.14,355.3,10157.16,0.0,10157.16,Turkish
B03124,H001,G01348,RT05,P000,2025-03-21,2025-03-30,2025-04-01,2,3,0,Travel Agent,Cancelled,1,2025-03-26,5497.3,10994.6,1835.48,324.72,13154.8,1649.19,1649.19,British
B03125,H001,G01459,RT01,P000,2026-08-03,2026-09-05,2026-09-07,2,3,0,Direct Phone,Confirmed,0,,3824.74,7649.48,868.18,522.57,9040.23,0.0,9040.23,British
B03126,H001,G01565,RT05,P005,2026-07-28,2026-09-16,2026-09-18,2,2,0,Booking.com,Cancelled,1,2026-08-08,7617.21,15234.42,3190.33,496.09,18920.84,2285.16,2285.16,Turkish
B03127,H001,G01684,RT02,P002,2025-06-12,2025-07-10,2025-07-14,4,2,1,Corporate,Cancelled,1,2025-06-23,4752.57,19010.28,1928.33,1108.37,22046.98,2851.54,2851.54,French
B03128,H001,G00873,RT06,P003,2025-07-02,2025-07-10,2025-07-15,5,1,0,Booking.com,Cancelled,1,2025-07-04,11049.32,55246.6,6554.16,711.74,62512.5,8286.99,8286.99,British
B03129,H001,G02246,RT06,P001,2026-01-05,2026-02-01,2026-02-03,2,2,0,Travel Agent,Completed,0,,6092.34,12184.68,1566.7,431.28,14182.66,0.0,14182.66,Turkish
B03130,H001,G00642,RT06,P003,2026-08-13,2026-09-10,2026-09-18,8,2,0,Booking.com,Cancelled,1,2026-09-05,9173.49,73387.92,9197.74,3303.08,85888.74,11008.19,11008.19,British
B03131,H001,G00359,RT01,P000,2026-07-28,2026-08-30,2026-09-02,3,4,1,Expedia,Confirmed,0,,4737.56,14212.68,2528.41,474.82,17215.91,0.0,17215.91,British
B03132,H001,G01628,RT02,P005,2025-06-17,2025-07-28,2025-07-30,2,4,0,Travel Agent,Completed,0,,5034.71,10069.42,1419.01,435.54,11923.97,0.0,11923.97,Turkish
B03133,H001,G01625,RT01,P003,2026-07-29,2026-09-19,2026-09-27,8,4,2,Expedia,Confirmed,0,,3010.48,24083.84,5175.01,1154.77,30413.62,0.0,30413.62,British
B03134,H001,G00278,RT03,P005,2025-07-08,2025-07-27,2025-08-10,14,3,0,Expedia,Completed,0,,6326.15,88566.1,12887.07,4856.56,106309.73,0.0,106309.73,Turkish
B03135,H001,G02404,RT01,P000,2025-03-02,2025-03-23,2025-03-27,4,2,0,Booking.com,Completed,0,,2316.0,9264.0,1081.37,401.9,10747.27,0.0,10747.27,Turkish
B03136,H001,G02189,RT02,P002,2026-07-16,2026-07-23,2026-07-25,2,3,0,Booking.com,Cancelled,1,2026-07-21,4669.51,9339.02,1893.65,250.46,11483.13,1400.85,1400.85,Turkish
B03137,H001,G02068,RT03,P000,2025-07-12,2025-08-03,2025-08-06,3,2,1,Booking.com,Completed,0,,7237.88,21713.64,4531.23,614.07,26858.94,0.0,26858.94,Turkish
B03138,H001,G01693,RT06,P001,2026-10-17,2026-11-12,2026-11-15,3,2,0,Booking.com,Confirmed,0,,5899.0,17697.0,2597.33,1191.91,21486.24,0.0,21486.24,Turkish
B03139,H001,G01604,RT04,P000,2026-09-06,2026-09-18,2026-09-21,3,2,0,Direct Website,Confirmed,0,,6498.52,19495.56,2192.99,1359.55,23048.1,0.0,23048.1,British
B03140,H001,G02070,RT01,P000,2025-10-04,2025-10-12,2025-10-15,3,2,0,Travel Agent,Completed,0,,3012.02,9036.06,1465.79,312.99,10814.84,0.0,10814.84,Turkish
B03141,H001,G01110,RT02,P000,2026-06-12,2026-07-05,2026-07-09,4,2,2,Expedia,Completed,0,,6048.1,24192.4,1980.91,393.92,26567.23,0.0,26567.23,Turkish
B03142,H001,G01476,RT04,P001,2026-09-16,2026-09-30,2026-10-02,2,2,0,Expedia,Confirmed,0,,5764.61,11529.22,1405.03,482.93,13417.18,0.0,13417.18,German
B03143,H001,G01385,RT01,P005,2025-05-06,2025-07-21,2025-07-23,2,4,1,Booking.com,Completed,0,,3777.64,7555.28,965.41,506.21,9026.9,0.0,9026.9,Turkish
B03144,H001,G01383,RT01,P000,2025-07-22,2025-08-01,2025-08-05,4,2,1,Direct Phone,Completed,0,,4680.85,18723.4,2633.21,548.12,21904.73,0.0,21904.73,Turkish
B03145,H001,G01734,RT01,P000,2026-06-05,2026-07-27,2026-07-30,3,2,0,Expedia,Completed,0,,3854.52,11563.56,2014.7,188.96,13767.22,0.0,13767.22,Turkish
B03146,H001,G00104,RT01,P006,2026-07-30,2026-08-06,2026-08-09,3,2,0,Direct Website,Completed,0,,3866.61,11599.83,2062.42,289.25,13951.5,0.0,13951.5,Turkish
B03147,H001,G00257,RT03,P003,2026-06-07,2026-07-17,2026-07-27,10,3,0,Booking.com,Completed,0,,6094.43,60944.3,8103.65,2748.08,71796.03,0.0,71796.03,Turkish
B03148,H001,G02019,RT06,P001,2026-02-02,2026-02-26,2026-02-28,2,2,0,Booking.com,Completed,0,,5180.89,10361.78,847.93,489.36,11699.07,0.0,11699.07,Russian
B03149,H001,G02279,RT01,P004,2026-08-13,2026-09-07,2026-09-09,2,3,0,Travel Agent,Confirmed,0,,3358.89,6717.78,872.16,165.23,7755.17,0.0,7755.17,Turkish
B03150,H001,G00144,RT01,P005,2026-07-28,2026-08-09,2026-08-11,2,2,0,Booking.com,Completed,0,,3663.65,7327.3,1067.32,445.15,8839.77,0.0,8839.77,Turkish
B03151,H001,G02524,RT06,P001,2025-07-16,2025-08-10,2025-08-14,4,2,0,Booking.com,Completed,0,,11142.69,44570.76,3600.97,545.75,48717.48,0.0,48717.48,British
B03152,H001,G00992,RT03,P006,2025-07-08,2025-07-19,2025-07-23,4,2,0,Direct Website,Completed,0,,6128.76,24515.04,3463.37,611.14,28589.55,0.0,28589.55,German
B03153,H001,G02474,RT03,P003,2025-04-21,2025-06-03,2025-06-08,5,3,0,Expedia,Completed,0,,4771.06,23855.3,4557.87,1261.65,29674.82,0.0,29674.82,Turkish
B03154,H001,G00197,RT01,P004,2026-07-05,2026-07-27,2026-07-29,2,2,0,Direct Website,Completed,0,,3795.52,7591.04,1424.3,111.47,9126.81,0.0,9126.81,British
B03155,H001,G01102,RT01,P003,2026-07-12,2026-08-23,2026-08-28,5,2,1,Travel Agent,Confirmed,0,,3580.02,17900.1,2372.03,439.48,20711.61,0.0,20711.61,German
B03156,H001,G01244,RT02,P000,2025-02-26,2025-04-04,2025-04-07,3,2,2,Booking.com,Completed,0,,3381.25,10143.75,942.8,465.15,11551.7,0.0,11551.7,Turkish
B03157,H001,G00229,RT05,P002,2026-06-12,2026-07-11,2026-07-14,3,2,0,Booking.com,Completed,0,,8763.51,26290.53,2863.89,1724.64,30879.06,0.0,30879.06,Turkish
B03158,H001,G02365,RT02,P000,2026-06-07,2026-06-30,2026-07-03,3,2,1,Booking.com,Completed,0,,4699.55,14098.65,2841.95,391.51,17332.11,0.0,17332.11,German
B03159,H001,G01587,RT01,P000,2025-06-19,2025-10-22,2025-10-26,4,3,1,Travel Agent,Completed,0,,2741.38,10965.52,1283.79,345.51,12594.82,0.0,12594.82,Turkish
B03160,H001,G02144,RT01,P004,2025-08-20,2025-11-21,2025-11-23,2,1,0,Booking.com,Completed,0,,1944.1,3888.2,682.8,151.29,4722.29,0.0,4722.29,German
B03161,H001,G00465,RT03,P006,2026-09-04,2026-09-09,2026-09-23,14,2,0,Direct Website,Confirmed,0,,5364.48,75102.72,7189.21,4271.23,86563.16,0.0,86563.16,Turkish
B03162,H001,G00741,RT05,P000,2026-02-02,2026-05-07,2026-05-11,4,3,1,Direct Website,Completed,0,,7124.43,28497.72,3744.07,641.27,32883.06,0.0,32883.06,Turkish
B03163,H001,G00334,RT04,P003,2026-07-21,2026-10-19,2026-10-24,5,4,1,Travel Agent,Confirmed,0,,4601.79,23008.95,3847.06,1526.14,28382.15,0.0,28382.15,Turkish
B03164,H001,G01560,RT01,P000,2026-02-03,2026-02-09,2026-02-13,4,4,1,Corporate,Completed,0,,2030.13,8120.52,1444.18,349.18,9913.88,0.0,9913.88,Turkish
B03165,H001,G00717,RT01,P000,2026-06-28,2026-07-11,2026-07-13,2,3,1,Booking.com,Completed,0,,3854.49,7708.98,995.73,137.17,8841.88,0.0,8841.88,British
B03166,H001,G02168,RT06,P003,2025-08-24,2025-10-03,2025-10-09,6,2,0,Travel Agent,Completed,0,,7101.15,42606.9,3642.71,2890.88,49140.49,0.0,49140.49,Turkish
B03167,H001,G01055,RT03,P000,2026-07-05,2026-07-10,2026-07-12,2,4,1,Travel Agent,Completed,0,,6532.68,13065.36,2384.21,658.23,16107.8,0.0,16107.8,German
B03168,H001,G02189,RT03,P002,2026-07-16,2026-08-12,2026-08-17,5,3,1,Direct Phone,Completed,0,,6679.84,33399.2,3916.58,504.19,37819.97,0.0,37819.97,Turkish
B03169,H001,G01477,RT03,P006,2026-07-24,2026-09-21,2026-09-26,5,3,0,Direct Website,Cancelled,1,2026-08-08,5624.8,28124.0,3492.73,1222.98,32839.71,4218.6,4218.6,French
B03170,H001,G01005,RT05,P000,2025-04-09,2025-04-12,2025-04-17,5,2,1,Corporate,Completed,0,,6334.31,31671.55,5649.98,369.59,37691.12,0.0,37691.12,British
B03171,H001,G00779,RT01,P000,2026-04-08,2026-05-15,2026-05-18,3,2,0,Direct Website,Completed,0,,2942.03,8826.09,1196.82,601.67,10624.58,0.0,10624.58,British
B03172,H001,G01532,RT03,P000,2026-08-31,2026-11-03,2026-11-06,3,2,0,Booking.com,Confirmed,0,,3882.47,11647.41,1553.64,244.37,13445.42,0.0,13445.42,Russian
B03173,H001,G00637,RT01,P003,2026-07-05,2026-07-17,2026-07-24,7,3,1,Direct Website,Completed,0,,3526.43,24685.01,3709.79,1228.06,29622.86,0.0,29622.86,German
B03174,H001,G00364,RT01,P006,2025-08-18,2025-10-06,2025-10-10,4,2,0,Direct Phone,Completed,0,,2521.97,10087.88,1385.86,573.27,12047.01,0.0,12047.01,French
B03175,H001,G00902,RT06,P000,2025-10-06,2025-11-22,2025-11-25,3,2,0,Travel Agent,Completed,0,,5923.79,17771.37,2471.04,827.77,21070.18,0.0,21070.18,German
B03176,H001,G02217,RT03,P000,2026-07-16,2026-08-05,2026-08-06,1,2,0,Corporate,Completed,0,,6531.03,6531.03,1008.29,414.02,7953.34,0.0,7953.34,British
B03177,H001,G00332,RT01,P003,2026-06-03,2026-07-18,2026-07-24,6,2,0,Direct Website,Completed,0,,3495.83,20974.98,1850.53,1066.28,23891.79,0.0,23891.79,Turkish
B03178,H001,G01907,RT03,P005,2026-06-19,2026-08-06,2026-08-10,4,4,0,Booking.com,Completed,0,,6370.41,25481.64,4299.33,504.08,30285.05,0.0,30285.05,Russian
B03179,H001,G01951,RT01,P000,2026-06-10,2026-06-29,2026-07-03,4,2,0,Corporate,Completed,0,,3589.1,14356.4,1322.93,751.58,16430.91,0.0,16430.91,British
B03180,H001,G01727,RT02,P003,2026-07-24,2026-08-13,2026-08-20,7,2,0,Travel Agent,Completed,0,,5062.18,35435.26,4734.31,2135.17,42304.74,0.0,42304.74,British
B03181,H001,G00045,RT06,P000,2025-07-06,2025-07-23,2025-07-28,5,2,0,Travel Agent,Completed,0,,12200.53,61002.65,5686.69,1799.98,68489.32,0.0,68489.32,German
B03182,H001,G02249,RT02,P000,2025-10-14,2025-10-25,2025-10-26,1,2,0,Booking.com,Completed,0,,3804.78,3804.78,615.02,118.43,4538.23,0.0,4538.23,German
B03183,H001,G01202,RT05,P001,2025-01-21,2025-01-26,2025-01-29,3,2,0,Booking.com,Completed,0,,5028.15,15084.45,1572.48,680.33,17337.26,0.0,17337.26,Turkish
B03184,H001,G01679,RT01,P000,2025-08-20,2025-09-30,2025-10-01,1,2,1,Travel Agent,Completed,0,,3341.18,3341.18,421.15,155.01,3917.34,0.0,3917.34,Turkish
B03185,H001,G02356,RT05,P005,2025-06-04,2025-09-16,2025-09-17,1,2,1,Travel Agent,Completed,0,,7562.1,7562.1,674.39,396.77,8633.26,0.0,8633.26,German
B03186,H001,G01605,RT02,P000,2025-09-01,2025-10-22,2025-10-25,3,2,0,Travel Agent,Cancelled,1,2025-09-18,3476.69,10430.07,2131.5,720.92,13282.49,0.0,0.0,German
B03187,H001,G00170,RT02,P006,2025-06-09,2025-06-26,2025-06-29,3,3,1,Direct Website,Completed,0,,4634.23,13902.69,1310.99,257.74,15471.42,0.0,15471.42,Turkish
B03188,H001,G02110,RT06,P003,2025-05-15,2025-05-26,2025-06-05,10,2,0,Booking.com,Completed,0,,7583.4,75834.0,6937.47,772.96,83544.43,0.0,83544.43,Turkish
B03189,H001,G02077,RT02,P006,2026-04-05,2026-05-11,2026-05-12,1,2,0,Direct Phone,Completed,0,,3486.89,3486.89,735.74,127.06,4349.69,0.0,4349.69,German
B03190,H001,G01815,RT01,P000,2026-07-04,2026-07-13,2026-07-17,4,2,0,Booking.com,Completed,0,,4276.96,17107.84,2684.8,1060.72,20853.36,0.0,20853.36,Turkish
B03191,H001,G00968,RT02,P000,2025-08-26,2025-10-29,2025-10-31,2,1,0,Corporate,Completed,0,,3674.79,7349.58,1251.54,460.9,9062.02,0.0,9062.02,British
B03192,H001,G01619,RT06,P004,2025-03-21,2025-05-16,2025-05-18,2,2,0,Corporate,Completed,0,,8322.04,16644.08,1613.6,734.03,18991.71,0.0,18991.71,Russian
B03193,H001,G00088,RT01,P000,2026-09-13,2026-10-28,2026-11-01,4,2,1,Booking.com,Confirmed,0,,2880.51,11522.04,976.2,537.95,13036.19,0.0,13036.19,British
B03194,H001,G00600,RT04,P000,2026-08-09,2026-11-02,2026-11-06,4,1,0,Direct Phone,Confirmed,0,,4565.99,18263.96,1550.1,479.54,20293.6,0.0,20293.6,Turkish
B03195,H001,G02453,RT01,P002,2026-06-23,2026-07-26,2026-07-30,4,3,1,Direct Website,Completed,0,,3903.54,15614.16,2607.75,796.65,19018.56,0.0,19018.56,British
B03196,H001,G02298,RT02,P000,2025-07-31,2025-08-24,2025-08-29,5,3,2,Booking.com,Cancelled,1,2025-08-01,5561.83,27809.15,2295.8,1286.78,31391.73,0.0,0.0,British
B03197,H001,G00080,RT01,P003,2025-08-17,2025-09-28,2025-10-04,6,2,1,Booking.com,Completed,0,,3157.53,18945.18,1970.49,1086.95,22002.62,0.0,22002.62,French
B03198,H001,G01650,RT02,P001,2025-10-10,2025-11-18,2025-11-19,1,2,0,Corporate,Completed,0,,2762.97,2762.97,344.92,70.67,3178.56,0.0,3178.56,Turkish
B03199,H001,G00680,RT04,P006,2026-08-03,2026-09-09,2026-09-11,2,2,0,Direct Website,Confirmed,0,,6613.55,13227.1,2403.86,715.16,16346.12,0.0,16346.12,Turkish
B03200,H001,G02077,RT03,P004,2025-09-30,2025-11-03,2025-11-05,2,2,1,Travel Agent,Completed,0,,3333.75,6667.5,1032.96,248.99,7949.45,0.0,7949.45,German
B03201,H001,G02020,RT02,P006,2026-03-29,2026-04-18,2026-04-20,2,2,0,Direct Website,Cancelled,1,2026-04-14,3116.06,6232.12,1361.74,105.66,7699.52,934.82,934.82,German
B03202,H001,G00760,RT02,P001,2025-05-27,2025-06-17,2025-06-20,3,3,1,Expedia,Completed,0,,4480.08,13440.24,1499.25,932.08,15871.57,0.0,15871.57,French
B03203,H001,G01927,RT01,P005,2026-06-16,2026-07-07,2026-07-10,3,2,1,Booking.com,Completed,0,,3745.55,11236.65,1459.79,248.4,12944.84,0.0,12944.84,British
B03204,H001,G00471,RT03,P002,2026-08-17,2026-09-01,2026-09-04,3,2,0,Corporate,Confirmed,0,,5234.47,15703.41,2112.59,290.85,18106.85,0.0,18106.85,German
B03205,H001,G00714,RT02,P001,2026-09-19,2026-10-13,2026-10-17,4,2,0,Booking.com,Cancelled,1,2026-10-11,3296.13,13184.52,1819.83,785.49,15789.84,1977.68,1977.68,British
B03206,H001,G00107,RT03,P000,2025-08-11,2025-09-08,2025-09-15,7,2,0,Direct Website,Completed,0,,5679.01,39753.07,4021.58,1069.85,44844.5,0.0,44844.5,Turkish
B03207,H001,G01220,RT03,P000,2026-02-21,2026-03-27,2026-03-29,2,3,0,Booking.com,Completed,0,,3697.69,7395.38,1410.86,259.21,9065.45,0.0,9065.45,British
B03208,H001,G00370,RT02,P000,2025-07-04,2025-07-12,2025-07-14,2,2,0,Direct Website,Completed,0,,5838.43,11676.86,2550.66,643.7,14871.22,0.0,14871.22,Turkish
B03209,H001,G02258,RT01,P000,2026-11-28,2026-12-10,2026-12-15,5,2,0,Direct Phone,Confirmed,0,,1936.45,9682.25,1993.99,328.48,12004.72,0.0,12004.72,British
B03210,H001,G00483,RT01,P006,2026-07-21,2026-08-11,2026-08-25,14,2,0,Direct Website,Completed,0,,4033.36,56467.04,7295.6,3173.02,66935.66,0.0,66935.66,French
B03211,H001,G02065,RT01,P001,2026-09-27,2026-10-10,2026-10-17,7,2,2,Expedia,Confirmed,0,,2421.7,16951.9,2916.93,1134.84,21003.67,0.0,21003.67,Turkish
B03212,H001,G00978,RT05,P000,2026-08-03,2026-08-14,2026-08-17,3,2,0,Travel Agent,Completed,0,,10246.5,30739.5,3510.11,935.13,35184.74,0.0,35184.74,British
B03213,H001,G01953,RT01,P006,2025-10-26,2025-12-02,2025-12-04,2,2,0,Direct Website,Completed,0,,1971.14,3942.28,787.16,192.32,4921.76,0.0,4921.76,Turkish
B03214,H001,G01676,RT01,P000,2026-02-24,2026-03-29,2026-04-01,3,2,0,Booking.com,Completed,0,,2117.78,6353.34,1356.74,255.92,7966.0,0.0,7966.0,British
B03215,H001,G02272,RT01,P000,2026-07-22,2026-08-29,2026-08-31,2,4,1,Direct Website,Confirmed,0,,4187.52,8375.04,1135.36,450.01,9960.41,0.0,9960.41,British
B03216,H001,G01945,RT01,P003,2026-05-12,2026-06-24,2026-07-02,8,3,0,Booking.com,Cancelled,1,2026-06-20,3397.98,27183.84,5029.35,935.09,33148.28,4077.58,4077.58,German
B03217,H001,G02517,RT03,P003,2026-09-25,2026-10-16,2026-10-23,7,4,0,Direct Website,Confirmed,0,,3974.25,27819.75,4208.91,1236.07,33264.73,0.0,33264.73,Russian
B03218,H001,G02056,RT02,P003,2026-08-04,2026-09-18,2026-09-23,5,1,0,Travel Agent,Confirmed,0,,4461.96,22309.8,4229.69,998.57,27538.06,0.0,27538.06,British
B03219,H001,G01506,RT03,P004,2025-07-13,2025-08-03,2025-08-05,2,3,1,Booking.com,Completed,0,,6712.22,13424.44,1748.59,768.99,15942.02,0.0,15942.02,Turkish
B03220,H001,G00266,RT01,P001,2025-11-24,2025-12-30,2026-01-02,3,2,0,Expedia,Completed,0,,2029.54,6088.62,728.7,187.21,7004.53,0.0,7004.53,Turkish
B03221,H001,G01229,RT01,P000,2025-08-16,2025-10-25,2025-10-28,3,2,2,Travel Agent,Cancelled,1,2025-10-15,3133.38,9400.14,921.49,546.77,10868.4,1410.02,1410.02,Turkish
B03222,H001,G00700,RT03,P000,2026-05-20,2026-06-06,2026-06-13,7,3,1,Travel Agent,Completed,0,,6022.39,42156.73,3857.78,1050.03,47064.54,0.0,47064.54,British
B03223,H001,G02056,RT02,P006,2025-08-01,2025-11-06,2025-11-09,3,2,0,Direct Phone,Completed,0,,2788.87,8366.61,697.44,294.18,9358.23,0.0,9358.23,British
B03224,H001,G01672,RT01,P002,2025-08-21,2025-09-05,2025-09-19,14,3,2,Expedia,Completed,0,,3356.16,46986.24,10325.4,2805.09,60116.73,0.0,60116.73,British
B03225,H001,G00272,RT05,P004,2025-01-07,2025-01-22,2025-01-23,1,2,0,Direct Website,Completed,0,,4929.72,4929.72,955.18,181.29,6066.19,0.0,6066.19,Turkish
B03226,H001,G00910,RT01,P001,2026-01-31,2026-02-24,2026-02-25,1,4,0,Expedia,Completed,0,,2247.76,2247.76,490.99,32.04,2770.79,0.0,2770.79,British
B03227,H001,G00707,RT01,P000,2026-10-22,2026-11-05,2026-11-11,6,2,0,Expedia,Confirmed,0,,2341.55,14049.3,2288.67,746.08,17084.05,0.0,17084.05,British
